# Original NPC roster for the independent Eloria test continent.
npc | Aven | emberhaven | 58 | 62 | dialogue | actor_type=256 | Welcome to Emberhaven. I can explain the roads and neighboring regions.
npc | Scholar Meret | four_gates | 176 | 249 | shop | actor_type=311 | I compare each road's reports against the old civic ledgers.
npc | Lake Priest Olyra | four_gates | 96 | 348 | dialogue | actor_type=312 | The lake reflects every promise. Speak yours carefully.
npc | Sigil Keeper Ansa | four_gates | 203 | 233 | sigil | actor_type=311 | I sell all twenty-six sigils. Learn what each means before you reach for the next. | price=400; sigils=0-25
npc | Cache Keeper Dellin | four_gates | 134 | 175 | storage | actor_type=301 | Four roads meet here and every one of them arrives overloaded. Leave what you are not using.
npc | Register Clerk Hemmen | four_gates | 187 | 202 | dialogue | actor_type=312 | The register is the only document all eight peoples ever agreed to sign. Mind how you write in it.
npc | Bettany Orl | four_gates | 218 | 197 | shop | actor_type=303 | Bread, broth, and whatever the last caravan was willing to say out loud. The broth is better.
npc | Toll-Reader Sarn Kesh | four_gates | 109 | 218 | dialogue | actor_type=346 | Westhaven posted me here to read tolls. Four Gates does not collect tolls. I have a great deal of time.
npc | Banner-Rider Ashaia | four_gates | 301 | 201 | dialogue | actor_type=334 | I carry the Khanet's word east, and I carry nothing else. Do not ask.
npc | Cold Sister Nevet | four_gates | 193 | 304 | dialogue | actor_type=314 | Whitehorn sends one of us to watch the crossroads each winter. This year it is me.
npc | Calibrator Yeshin Vol | four_gates | 132 | 191 | dialogue | actor_type=326 | Something under this island is humming a note it was not humming last year. Nobody will let me dig.
npc | Water-Clerk Ussa-Ren | four_gates | 133 | 257 | dialogue | actor_type=352 | Standing comes from water. I record which water you came by, and that decides a great deal.
npc | Cairnwright Bodrum | four_gates | 188 | 145 | dialogue | actor_type=367 | I cut the milestones. A stone that gives the wrong distance is a lie that lasts four hundred years.
npc | Spore-Speaker Vell | four_gates | 145 | 260 | dialogue | actor_type=371 | Amberwood remembers this crossroads from before it had gates. I am here so that it keeps remembering.
npc | Lamp-Trimmer Doric Ashen | four_gates | 235 | 176 | dialogue | actor_type=311 | Every lamp on the plaza, trimmed at dusk. Miss one and something walks the gap. Laugh if you like.
npc | Quartermaster Perrin Lock | four_gates | 102 | 201 | shop | actor_type=345 | I hire escorts for the west road. The pay is fair. The road is not.
npc | Drover Anhu Tam | four_gates | 341 | 347 | dialogue | actor_type=336 | Forty head down from the steppe, and eleven fewer than left it. Ask me about the eleven.
# The beginner tutorial had no one to hand it out: only the Eternal Lands
# profile carried a `tutorial` role, on an NPC standing at Isla Prima.
# Wayfinder Nesh stands one tile off the arrival datum, on ground the
# map's own walk grid says is walkable.
# The hunting chain's quest-giver. Role `novac` is the internal hook the
# world uses for the chain; nothing a player reads says it.
npc | Sister Arel | whitehorn_range | 102 | 79 | dialogue | actor_type=314 | Whitehorn teaches preparation, restraint, and respect for the cold.
npc | Korrin | whitehorn_range | 95 | 82 | shop | actor_type=319 | I provision climbers and buy what the mountain yields.
npc | Ordinal Thrun | whitehorn_range | 233 | 345 | dialogue | actor_type=319 | The Glacier Temple keeps three rules, and only one of them is about the cold.
npc | Brother Kell Ivorwind | whitehorn_range | 107 | 68 | dialogue | actor_type=318 | Everyone who comes through this gate is measured. Not judged. Measured.
npc | Mine Captain Sarra Dolt | whitehorn_range | 328 | 257 | dialogue | actor_type=362 | Whitehorn Mine runs on two shifts and one argument. The argument is older than the mine.
npc | Ice-Cave Sounder Vesk | whitehorn_range | 43 | 184 | dialogue | actor_type=368 | I strike the ice and listen. Last winter it answered in a voice I had not put there.
npc | Cascade Watcher Ilun | whitehorn_range | 187 | 294 | dialogue | actor_type=316 | The cascade froze eleven days early. I wrote it down. That is the whole of my office.
npc | Rope-Bridge Keeper Adhe | whitehorn_range | 211 | 198 | dialogue | actor_type=317 | The rope is checked at dawn and at dusk. Cross between, and you cross on faith.
npc | Shrine Sister Onwe | whitehorn_range | 151 | 378 | dialogue | actor_type=314 | Leave nothing at the shrine you would not want handed back to you in winter.
npc | Cairn-Reader Marrow Doun | whitehorn_range | 58 | 301 | dialogue | actor_type=368 | Every cairn on this ridge is a sentence. Together they are an argument with the weather.
npc | Ration Sister Petch | whitehorn_range | 91 | 82 | dialogue | actor_type=317 | Four days of food, or you do not pass. I have carried down enough people who disagreed.
npc | Snowline Ranger Kestrel Vane | whitehorn_range | 285 | 275 | dialogue | actor_type=301 | I map the snowline twice a year. It has moved uphill both times, and Mirrorhold does not want the map.
npc | Silverleaf Picker Doun Ashe | whitehorn_range | 368 | 295 | dialogue | actor_type=319 | Silverleaf grows where the wind cannot reach, so I go where the wind cannot reach. Short career.
npc | Ione Brass | amethyst_barrens | 141 | 107 | dialogue | actor_type=322 | Resonance is measured before it is trusted. The vault punishes careless experiments.
npc | Varric Lens | amethyst_barrens | 161 | 113 | shop | actor_type=327 | Calibrated reagents and field tools, tested twice.
npc | Observatory Warden Sela Prism | amethyst_barrens | 62 | 274 | dialogue | actor_type=324 | The Observatory measures the Barrens twice a day. Twice a day it is a little further out of tune.
npc | Tuning Adept Ollum Ghast | amethyst_barrens | 329 | 52 | dialogue | actor_type=326 | The Resonance Ring will hold a note for a whole day. Stand inside it and it will hold yours.
npc | Field Station Cook Naia Flint | amethyst_barrens | 125 | 112 | dialogue | actor_type=324 | Surveyors eat badly and complain beautifully. Sit down; you will hear everything.
npc | Shard Counter Bel Ammon | amethyst_barrens | 321 | 178 | dialogue | actor_type=327 | Every shard leaving this region passes my table. Fewer pass it than leave.
npc | Geode Digger Torvin Slate | amethyst_barrens | 43 | 340 | dialogue | actor_type=366 | Crack a geode wrong and the note stays in your teeth for a week. I have very good teeth now.
npc | Storm-Ruin Surveyor Ash Kell | amethyst_barrens | 283 | 239 | dialogue | actor_type=323 | Six ruins, all struck by the same storm, none of them in the same century. Explain that to me.
npc | Freight Factor Nils Corrow | amethyst_barrens | 356 | 55 | dialogue | actor_type=348 | Westhaven wants crystal, the Glasswardens want paperwork, and I want one quiet season.
npc | Watchtower Sentinel Ivar Quill | amethyst_barrens | 365 | 128 | dialogue | actor_type=328 | I watch the east road for uncalibrated cargo. It is not smuggling. It is worse. It is legal.
npc | Shard-Hauler Damu Orun | amethyst_barrens | 129 | 91 | dialogue | actor_type=332 | Steppe wagons, Barrens rock. The Khanet asks no questions and neither do I, most days.
npc | Cluster Warden Peri Vance | amethyst_barrens | 231 | 142 | dialogue | actor_type=323 | This cluster is measured, licensed and worked. The three unlicensed ones are why I look tired.
npc | Deaf Digger Ollo Marrow | amethyst_barrens | 272 | 326 | dialogue | actor_type=365 | I lost my hearing in the sour ground, and I am the only digger down there who is not frightened.
npc | Elder Sura | sunmane_steppe | 119 | 124 | dialogue | actor_type=334 | The Orun road changes with the herds, but hospitality does not.
npc | Kesh | sunmane_steppe | 129 | 120 | shop | actor_type=335 | Seed oil, hides, arrows, and whatever the camps can spare.
npc | Orun khan | sunmane_steppe | 128 | 126 | dialogue | actor_type=338 | The Sunmane roads are open to prepared travellers.
npc | Seasonal market broker | sunmane_steppe | 118 | 120 | shop | actor_type=331 | The Sunmane roads are open to prepared travellers.
npc | Camp horse master | sunmane_steppe | 86 | 201 | shop | actor_type=330 | The Sunmane roads are open to prepared travellers.
npc | West caravan master | sunmane_steppe | 82 | 120 | dialogue | actor_type=331 | The Sunmane roads are open to prepared travellers.
npc | East caravan master | sunmane_steppe | 167 | 121 | dialogue | actor_type=332 | The Sunmane roads are open to prepared travellers.
npc | Banner shrine keeper | sunmane_steppe | 91 | 203 | dialogue | actor_type=333 | The Sunmane roads are open to prepared travellers.
npc | Steppe miller | sunmane_steppe | 180 | 82 | shop | actor_type=334 | The Sunmane roads are open to prepared travellers.
npc | Crossroads well keeper | sunmane_steppe | 120 | 114 | storage | actor_type=335 | The Sunmane roads are open to prepared travellers.
npc | Barrow warden | sunmane_steppe | 129 | 163 | dialogue | actor_type=336 | The Sunmane roads are open to prepared travellers.
npc | Cove landing factor | sunmane_steppe | 34 | 81 | shop | actor_type=337 | The Sunmane roads are open to prepared travellers.
npc | Dune well keeper | sunmane_steppe | 134 | 273 | storage | actor_type=338 | The Sunmane roads are open to prepared travellers.
npc | Salt-pan factor | sunmane_steppe | 287 | 296 | shop | actor_type=339 | The Sunmane roads are open to prepared travellers.
npc | Wind caves watch | sunmane_steppe | 244 | 302 | dialogue | actor_type=336 | The Sunmane roads are open to prepared travellers.
npc | Amethyst prospector | sunmane_steppe | 331 | 278 | shop | actor_type=329 | The Sunmane roads are open to prepared travellers.
npc | Whitehorn range warden | sunmane_steppe | 342 | 280 | dialogue | actor_type=330 | The Sunmane roads are open to prepared travellers.
npc | Khanet Berel Suran | sunmane_steppe | 130 | 129 | dialogue | actor_type=333 | My father held the banner and my brother holds it now. I hold what it costs.
npc | Herd-Mother Tamu Ashai | sunmane_steppe | 87 | 198 | dialogue | actor_type=333 | Eleven hundred head, and I know the temper of every one. That is not a boast. It is the job.
npc | Salt Rider Onen Dur | sunmane_steppe | 284 | 295 | dialogue | actor_type=339 | Salt pan to the Barrens and back in nine days. Eight if I stop sleeping, which I do.
npc | Banner Boy Suvi | sunmane_steppe | 94 | 203 | dialogue | actor_type=339 | I keep the shrine banners straight. When one falls the camp says a rider is coming. One always is.
npc | Wind-Cave Listener Esku | sunmane_steppe | 242 | 299 | dialogue | actor_type=363 | The wind caves speak on a rising wind. Most of it is weather. Most.
npc | Well-Digger Harun Tel | sunmane_steppe | 122 | 111 | dialogue | actor_type=337 | Four wells this season, three of them sweet. The fourth I filled in, and told nobody why.
npc | Caravan Doctor Nesrin | sunmane_steppe | 112 | 120 | dialogue | actor_type=304 | Lakeside training, steppe practice. Half of what I learned was wrong out here, and I found out the hard way.
npc | Guest-Right Judge Oru Bakhan | sunmane_steppe | 119 | 128 | dialogue | actor_type=335 | Guest-right is not kindness. It is a contract, and I am the one who enforces it.
npc | Grain Tallyman Sef Corrin | sunmane_steppe | 178 | 79 | dialogue | actor_type=351 | Westhaven buys the steppe's grain and sells it back as bread. I write the numbers that make that lawful.
npc | Eryn Amber | amberwood | 159 | 248 | dialogue | actor_type=340 | The old estate remembers every bargain made beneath its trees.
npc | Tomas Root | amberwood | 152 | 255 | storage | actor_type=377 | Dry goods stay dry in my cellar, even when the forest floods.
npc | Warden of the Amber Gate | amberwood | 282 | 190 | dialogue | actor_type=340 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Hall Steward | amberwood | 133 | 254 | dialogue | actor_type=341 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Amber Master | amberwood | 195 | 242 | dialogue | actor_type=342 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Resin Trader | amberwood | 172 | 244 | dialogue | actor_type=343 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Harbour Master | amberwood | 85 | 116 | dialogue | actor_type=344 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Timber Reeve | amberwood | 307 | 81 | dialogue | actor_type=345 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Charcoal Burner | amberwood | 325 |  117 | dialogue | actor_type=346 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Canopy Rigger | amberwood | 199 | 278 | dialogue | actor_type=347 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Keeper of the Hollow | amberwood |  92 | 338 | dialogue | actor_type=348 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Garden Warden | amberwood | 265 |  114 | dialogue | actor_type=349 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Ash Scout | amberwood | 329 | 224 | dialogue | actor_type=350 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | North Watcher | amberwood | 315 | 375 | dialogue | actor_type=351 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Hamlet Elder | amberwood | 371 | 76 | dialogue | actor_type=340 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Wayshrine Hermit | amberwood | 242 | 159 | dialogue | actor_type=341 | Amberwood keeps its roads, groves, and settlements in common trust.
npc | Motherroot Voice Sillow | amberwood | 201 | 354 | dialogue | actor_type=373 | The Amberwood Mother has been standing since before the first ledger. She does not need the second one.
npc | Spore-Elder Tamm Hollow | amberwood |  92 | 339 | dialogue | actor_type=377 | I did not learn the north coppice. I inherited it. Try filing that.
npc | Grove Reader Nesh Pallid | amberwood | 107 | 367 | dialogue | actor_type=370 | The deep grove keeps four hundred years of weather in its rings. Ask it about the fire.
npc | Coppice Cutter Aldo Renn | amberwood | 275 | 390 | dialogue | actor_type=346 | I cut where the reeve says cut. Some mornings the stumps have been apologised to.
npc | Wayshrine Cantor Ivy Marl | amberwood | 242 | 160 | dialogue | actor_type=373 | Travellers sing one verse at the shrine and walk on. The forest keeps the verse.
npc | Orchard Keeper Bess Torrow | amberwood | 212 | 66 | dialogue | actor_type=341 | Two hundred trees in rows, planted by a league surveyor who had never seen a tree.
npc | Skep-Keeper Runa Combe | amberwood | 229 | 73 | dialogue | actor_type=373 | The bees know the boundary better than the boundary stones do. They have been asked.
npc | Cinder Chaplain Osric Vane | amberwood | 364 | 300 | dialogue | actor_type=311 | The chapel stands in burnt country because that is where it was needed. It has not moved since.
npc | Quarry Reeve Dunna Stell | amberwood | 388 | 61 | dialogue | actor_type=362 | The Long Cut has fed three regions and buried eleven of my people. Both facts are on the stone.
npc | Ridge Scout Tarrow Kite | amberwood | 307 | 372 | dialogue | actor_type=348 | I walk the ridge, count the smoke, and report what I counted. Nothing about that is simple lately.
npc | Kelp Landing Factor Hesper | amberwood | 96 | 95 | dialogue | actor_type=341 | Kelp in, resin out, and a very great deal of paperwork sideways.
npc | Nine Watchers Hermit Bode | amberwood | 103 | 151 | dialogue | actor_type=367 | Nine stones, and I have been told nine different reasons for them. I believe the eighth.
npc | Mora Fen | grey_moors | 116 | 128 | dialogue | actor_type=341 | The barrows are quiet only when respected. Watch the lights and keep to the boards.
npc | Pell Wick | grey_moors | 104 | 129 | shop | actor_type=349 | Lanterns, peat, bandages, and no foolish promises.
npc | Barrow Warden Cassa Loom | grey_moors | 197 | 273 | dialogue | actor_type=345 | The Great Barrow is surveyed, fenced and quiet. Two of those are true.
npc | Stone-Court Speaker Hurn | grey_moors | 208 | 296 | dialogue | actor_type=367 | The Court of Standing Stones is not a monument. It is a court, and it is still sitting.
npc | Peat Reeve Ollam Skarr | grey_moors | 62 | 143 | dialogue | actor_type=350 | Peat is fuel, and fuel is money, and money is why nobody asks what the peat is holding.
npc | Debt-Reader Maun Pell | grey_moors | 249 | 248 | dialogue | actor_type=373 | Every barrow here is a debt. Some were paid. I keep the list of the ones that were not.
npc | Crypt Sexton Ivar Coombe | grey_moors | 52 | 283 | dialogue | actor_type=369 | Four crypt mouths, one key, and a rule about which of them opens after dark. Guess the rule.
npc | Moorlight Watcher Sisi Farrow | grey_moors | 132 | 344 | dialogue | actor_type=370 | The lights walk when a debt goes unpaid. They have walked every night this month.
npc | Pony Drover Teg Halloran | grey_moors | 82 | 117 | dialogue | actor_type=346 | Moor ponies will cross anything but a barrow line. They are better surveyors than the surveyors.
npc | Bog-Iron Smith Nella Doust | grey_moors | 110 | 129 | dialogue | actor_type=363 | Bog iron takes a grudge and holds it. That is why the barrow knives are still sharp.
npc | Orchid Gatherer Wenna Slee | grey_moors | 53 | 84 | dialogue | actor_type=372 | Ghost orchid grows over old graves and nowhere else. I try to be polite about it.
npc | Standing-Stone Mason Colm Rethe | grey_moors | 349 | 170 | dialogue | actor_type=368 | I recut the weathered stones. Every letter I restore is a letter somebody chose to leave out.
npc | Moor Chandler Perrin Wisk | grey_moors | 97 | 128 | dialogue | actor_type=342 | Lantern oil, wick, and a fair price. Out here that is a public service.
npc | Captain Iven | westhaven | 150 | 171 | dialogue | actor_type=344 | Westhaven survives by repairing yesterday's mistakes before tomorrow's tide.
npc | Sela Quay | westhaven | 157 | 177 | storage | actor_type=345 | Cargo entered here can be claimed from any civic storehouse.
npc | Harbour Reeve Anselm Coy | westhaven | 73 | 178 | dialogue | actor_type=347 | The Custom House opens at the fourth bell and closes when the arguing stops. It rarely stops.
npc | Crane Foreman Bettis Roke | westhaven | 221 | 168 | dialogue | actor_type=345 | The Great Crane lifts forty tons and has never once dropped a cargo. Ask me what it has dropped.
npc | Fishwife Orla Mudge | westhaven | 110 | 179 | dialogue | actor_type=343 | The market opens before dawn because fish do not negotiate. Neither do I.
npc | Yard Master Gervas Tull | westhaven | 297 | 176 | dialogue | actor_type=347 | Six hulls on the stocks and timber for four. Somebody upriver is not sending what they signed for.
npc | Ropewalk Mistress Sabra Hine | westhaven | 254 | 178 | dialogue | actor_type=343 | Three hundred paces of rope in one unbroken length. Break the length and you break the rope.
npc | Guild Notary Elber Wisk | westhaven | 185 | 218 | dialogue | actor_type=350 | The Mariners' Guild writes contracts nobody reads and enforces them on everybody.
npc | Astronomers' Hall Porter Nyle | westhaven | 186 | 319 | dialogue | actor_type=305 | Scholars in, scholars out, and nobody tells the porter what they found.
npc | Bell-Warden Cathis Orr | westhaven | 107 | 308 | dialogue | actor_type=311 | The Bell Tower rings the tides, the fires and the dead. Learn the difference before you sleep here.
npc | Lamp Rock Keeper Fen Tallow | westhaven | 339 | 88 | dialogue | actor_type=345 | Lamp Rock is nine miles out and I am the only person on it. That is a boast.
npc | Gullscar Farmer Rhys Camber | westhaven | 276 | 281 | dialogue | actor_type=347 | Upland soil, downland taxes. I feed the harbour and the harbour argues about the price.
npc | Factor's Clerk Ivet Somer | westhaven | 361 | 205 | dialogue | actor_type=302 | The Factor's House holds paper on half of Nymara. I hold the keys to the paper.
npc | Bastion Sergeant Odo Fell | westhaven | 53 | 113 | dialogue | actor_type=347 | Gullstone Bastion has not been stormed in ninety years. It has been walked into twice.
npc | Tessara | verdant_stair | 85 | 112 | dialogue | actor_type=352 | Every bright leaf warns, heals, or does both. Learn which before touching it.
npc | Orru Moss | verdant_stair | 131 | 105 | shop | actor_type=375 | Antidotes, gathering tools, and jungle provisions.
npc | Stairhouse Warden Ashi-Len | verdant_stair | 135 | 120 | dialogue | actor_type=356 | The Stairhouse counts everyone who climbs and everyone who does not come down.
npc | Canopy Village Elder Ruu-Sath | verdant_stair | 68 | 192 | dialogue | actor_type=357 | We live above the ground because the ground here belongs to older tenants.
npc | Cenote Diver Vess-Ilu | verdant_stair | 109 | 171 | dialogue | actor_type=352 | The Green Cenote has no bottom that I have found, and I have been looking for nineteen years.
npc | Green Temple Cantor Nasha-Ro | verdant_stair | 250 | 222 | dialogue | actor_type=361 | The Coiled Sun is sung at dawn on every terrace at once. Miss the beat and the whole hill hears it.
npc | Kiln Master Bodri Hask | verdant_stair | 297 | 219 | dialogue | actor_type=369 | Jungle clay, mountain fire. The pots come out wrong in a way I have grown fond of.
npc | Fern Camp Cook Illa Moss | verdant_stair | 33 | 223 | dialogue | actor_type=373 | Everything green here is edible, medicinal or fatal, and two of those look identical.
npc | Rope-Crossing Rigger Set-Anu | verdant_stair | 158 | 151 | dialogue | actor_type=359 | I rig the crossings and I test them myself. That is the only certification worth anything.
npc | Garden Physick Uwe Thal | verdant_stair | 230 | 130 | dialogue | actor_type=372 | Tessara grows the cures. I grow the things the cures are for. We are quite friendly.
npc | Quay Broker Halla Prine | verdant_stair | 73 | 59 | dialogue | actor_type=344 | Everything on this hill was carried up from my quay, including the arguments.
npc | Cloud Watch Sentinel Isse-Ka | verdant_stair | 260 | 302 | dialogue | actor_type=356 | From the Cloud Watch you can see four regions and be certain of none of them.
npc | Marchstone Hermit Oru-Ves | verdant_stair | 313 | 281 | dialogue | actor_type=361 | The marchstone marks where the Stair stops. I have moved it once, and I was right to.
npc | Archivist Sesh | ssarathi_ruins | 145 | 111 | dialogue | actor_type=354 | The royal archive records water, lineage, and the duties that outlive crowns.
npc | Vess Scale | ssarathi_ruins | 142 | 123 | storage | actor_type=357 | The archive vault accepts supplies but never forgets their owner.
npc | Sun-Vault Warden Hass-Ile | ssarathi_ruins | 226 | 236 | dialogue | actor_type=357 | The Sun Vault opens for lineage, for flood, and for nothing else. You are neither.
npc | Lineage Reader Ssiran-Ta | ssarathi_ruins | 209 | 130 | dialogue | actor_type=354 | Blood is an opinion. Water is a record. I read records.
npc | Hatchery Keeper Nuu-Sesh | ssarathi_ruins | 273 | 207 | dialogue | actor_type=352 | The hatchery has been warm for nine hundred years. I am the four hundred and eleventh to keep it so.
npc | Cistern Sounder Vek-Ora | ssarathi_ruins | 79 | 166 | dialogue | actor_type=357 | I drop a stone down the shaft and count. This year I count differently, and I do not like it.
npc | Stela Copyist Ilhu-Ren | ssarathi_ruins | 301 | 263 | dialogue | actor_type=352 | I copy the stelae before the rain finishes them. Some of what I copy contradicts the Archive.
npc | Water-Gate Marshal Set-Kaal | ssarathi_ruins | 161 | 24 | dialogue | actor_type=361 | The south gate lets the river in and keeps the delta out. Both of those are political.
npc | Lily Court Steward Aa-Nesh | ssarathi_ruins | 132 | 206 | dialogue | actor_type=352 | Lily Court hears small disputes. Small disputes are how large ones begin.
npc | Marchstone Priest Osu-Val | ssarathi_ruins | 347 | 198 | dialogue | actor_type=361 | Three marchstones, three rivers, one law. When a river moves, the law does not.
npc | Undercroft Digger Rell Marrow | ssarathi_ruins | 289 | 60 | dialogue | actor_type=365 | I am the only Stoneborn allowed under this temple, and only because the digging needed doing.
npc | Falls Measurer Ith-Anu | ssarathi_ruins | 340 | 312 | dialogue | actor_type=353 | The Greater Fall has dropped a hand's breadth in my lifetime. That is not nothing.
npc | Coil Bridge Toll-Taker Ude-Sar | ssarathi_ruins | 203 | 165 | dialogue | actor_type=358 | The toll is one honest answer. I have collected some very expensive ones.
npc | Mara Tide | manymouth_delta | 220 | 157 | dialogue | actor_type=343 | Manymouth has a route for every cargo and a rumor for every route.
